Epoch 001 | loss 6.6021 | node 5.4346 | edge 0.3858 | kl 3.1861 | beta 0.0031
Epoch 002 | loss 5.9598 | node 4.9054 | edge 0.3451 | kl 3.0364 | beta 0.0063
Epoch 003 | loss 5.6673 | node 4.6586 | edge 0.3276 | kl 2.7764 | beta 0.0094
Epoch 004 | loss 5.3469 | node 4.3776 | edge 0.3126 | kl 2.5213 | beta 0.0125
Epoch 005 | loss 5.1115 | node 4.1673 | edge 0.3038 | kl 2.1105 | beta 0.0156
Epoch 006 | loss 4.9518 | node 4.0307 | edge 0.2960 | kl 1.7662 | beta 0.0188
Epoch 007 | loss 4.7749 | node 3.8790 | edge 0.2879 | kl 1.4794 | beta 0.0219
Epoch 008 | loss 4.6568 | node 3.7825 | edge 0.2807 | kl 1.2812 | beta 0.0250
Epoch 009 | loss 4.5829 | node 3.7136 | edge 0.2794 | kl 1.1103 | beta 0.0281
Epoch 010 | loss 4.4806 | node 3.6333 | edge 0.2725 | kl 0.9525 | beta 0.0312
Epoch 011 | loss 4.4193 | node 3.5876 | edge 0.2677 | kl 0.8284 | beta 0.0344
Epoch 012 | loss 4.3941 | node 3.5648 | edge 0.2672 | kl 0.7379 | beta 0.0375
Epoch 013 | loss 4.2906 | node 3.4809 | edge 0.2612 | kl 0.6411 | beta 0.0406
Epoch 014 | loss 4.2436 | node 3.4402 | edge 0.2595 | kl 0.5702 | beta 0.0438
Epoch 015 | loss 4.2084 | node 3.4286 | edge 0.2522 | kl 0.4922 | beta 0.0469
Epoch 016 | loss 4.1567 | node 3.3793 | edge 0.2518 | kl 0.4412 | beta 0.0500
Epoch 017 | loss 4.1039 | node 3.3356 | edge 0.2495 | kl 0.3973 | beta 0.0500
Epoch 018 | loss 4.0605 | node 3.3015 | edge 0.2468 | kl 0.3679 | beta 0.0500
Epoch 019 | loss 4.0362 | node 3.2852 | edge 0.2446 | kl 0.3415 | beta 0.0500
Epoch 020 | loss 3.9971 | node 3.2517 | edge 0.2432 | kl 0.3192 | beta 0.0500
Epoch 021 | loss 4.0044 | node 3.2678 | edge 0.2405 | kl 0.3014 | beta 0.0500
Epoch 022 | loss 3.9471 | node 3.2191 | edge 0.2379 | kl 0.2868 | beta 0.0500
Epoch 023 | loss 3.8910 | node 3.1663 | edge 0.2371 | kl 0.2684 | beta 0.0500
Epoch 024 | loss 3.8774 | node 3.1583 | edge 0.2354 | kl 0.2577 | beta 0.0500
Epoch 025 | loss 3.8608 | node 3.1502 | edge 0.2328 | kl 0.2442 | beta 0.0500
Epoch 026 | loss 3.8300 | node 3.1249 | edge 0.2312 | kl 0.2310 | beta 0.0500
Epoch 027 | loss 3.8297 | node 3.1261 | edge 0.2308 | kl 0.2218 | beta 0.0500
Epoch 028 | loss 3.7820 | node 3.0781 | edge 0.2310 | kl 0.2154 | beta 0.0500
Epoch 029 | loss 3.7862 | node 3.0960 | edge 0.2266 | kl 0.2055 | beta 0.0500
