Epoch 001 | loss 7.2603 | node 6.0813 | edge 0.3905 | kl 6.1626 | beta 0.0013
Epoch 002 | loss 6.5134 | node 5.4652 | edge 0.3433 | kl 7.3455 | beta 0.0025
Epoch 003 | loss 6.1746 | node 5.1724 | edge 0.3266 | kl 5.9842 | beta 0.0037
Epoch 004 | loss 5.8664 | node 4.8889 | edge 0.3160 | kl 5.9135 | beta 0.0050
Epoch 005 | loss 5.5935 | node 4.6388 | edge 0.3063 | kl 5.7272 | beta 0.0063
Epoch 006 | loss 5.3865 | node 4.4533 | edge 0.2980 | kl 5.2444 | beta 0.0075
Epoch 007 | loss 5.2458 | node 4.3269 | edge 0.2926 | kl 4.6880 | beta 0.0087
Epoch 008 | loss 5.1326 | node 4.2356 | edge 0.2848 | kl 4.2675 | beta 0.0100
Epoch 009 | loss 5.0435 | node 4.1606 | edge 0.2801 | kl 3.7772 | beta 0.0113
Epoch 010 | loss 4.9397 | node 4.0648 | edge 0.2772 | kl 3.4552 | beta 0.0125
Epoch 011 | loss 4.8448 | node 3.9881 | edge 0.2712 | kl 3.1226 | beta 0.0138
Epoch 012 | loss 4.8116 | node 3.9674 | edge 0.2676 | kl 2.7713 | beta 0.0150
Epoch 013 | loss 4.7190 | node 3.8882 | edge 0.2635 | kl 2.4734 | beta 0.0163
Epoch 014 | loss 4.6786 | node 3.8588 | edge 0.2603 | kl 2.2261 | beta 0.0175
Epoch 015 | loss 4.6477 | node 3.8382 | edge 0.2575 | kl 1.9717 | beta 0.0188
Epoch 016 | loss 4.5958 | node 3.7907 | edge 0.2564 | kl 1.7944 | beta 0.0200
Epoch 017 | loss 4.5419 | node 3.7560 | edge 0.2506 | kl 1.6063 | beta 0.0213
Epoch 018 | loss 4.5346 | node 3.7438 | edge 0.2523 | kl 1.5042 | beta 0.0225
Epoch 019 | loss 4.4571 | node 3.6777 | edge 0.2490 | kl 1.3583 | beta 0.0238
Epoch 020 | loss 4.4282 | node 3.6620 | edge 0.2452 | kl 1.2256 | beta 0.0250
Epoch 021 | loss 4.4353 | node 3.6687 | edge 0.2457 | kl 1.1257 | beta 0.0263
Epoch 022 | loss 4.3720 | node 3.6164 | edge 0.2424 | kl 1.0319 | beta 0.0275
Epoch 023 | loss 4.3231 | node 3.5728 | edge 0.2410 | kl 0.9453 | beta 0.0287
Epoch 024 | loss 4.2972 | node 3.5558 | edge 0.2383 | kl 0.8834 | beta 0.0300
Epoch 025 | loss 4.2769 | node 3.5436 | edge 0.2359 | kl 0.8185 | beta 0.0312
Epoch 026 | loss 4.2215 | node 3.4981 | edge 0.2331 | kl 0.7456 | beta 0.0325
Epoch 027 | loss 4.2198 | node 3.4903 | edge 0.2354 | kl 0.6920 | beta 0.0338
Epoch 028 | loss 4.2004 | node 3.4794 | edge 0.2328 | kl 0.6416 | beta 0.0350
Epoch 029 | loss 4.1898 | node 3.4756 | edge 0.2308 | kl 0.5962 | beta 0.0362
Epoch 030 | loss 4.1464 | node 3.4444 | edge 0.2269 | kl 0.5684 | beta 0.0375
Epoch 031 | loss 4.0913 | node 3.3876 | edge 0.2278 | kl 0.5256 | beta 0.0388
Epoch 032 | loss 4.0838 | node 3.3879 | edge 0.2253 | kl 0.4991 | beta 0.0400
Epoch 033 | loss 4.0645 | node 3.3698 | edge 0.2252 | kl 0.4621 | beta 0.0413
