Epoch 001 | loss 7.2500 | node 6.0859 | edge 0.3858 | kl 5.2510 | beta 0.0013
Epoch 002 | loss 6.5147 | node 5.4640 | edge 0.3439 | kl 7.6151 | beta 0.0025
Epoch 003 | loss 6.1599 | node 5.1524 | edge 0.3277 | kl 6.4976 | beta 0.0037
Epoch 004 | loss 5.8329 | node 4.8530 | edge 0.3161 | kl 6.3475 | beta 0.0050
Epoch 005 | loss 5.5839 | node 4.6311 | edge 0.3049 | kl 6.0919 | beta 0.0063
Epoch 006 | loss 5.3674 | node 4.4394 | edge 0.2958 | kl 5.4349 | beta 0.0075
Epoch 007 | loss 5.2495 | node 4.3384 | edge 0.2898 | kl 4.7661 | beta 0.0087
Epoch 008 | loss 5.1300 | node 4.2261 | edge 0.2868 | kl 4.3448 | beta 0.0100
Epoch 009 | loss 5.0104 | node 4.1258 | edge 0.2802 | kl 3.8955 | beta 0.0113
Epoch 010 | loss 4.9096 | node 4.0407 | edge 0.2753 | kl 3.4396 | beta 0.0125
Epoch 011 | loss 4.8533 | node 4.0005 | edge 0.2704 | kl 3.0319 | beta 0.0138
Epoch 012 | loss 4.7897 | node 3.9530 | edge 0.2654 | kl 2.6992 | beta 0.0150
Epoch 013 | loss 4.7147 | node 3.8865 | edge 0.2633 | kl 2.3594 | beta 0.0163
Epoch 014 | loss 4.6311 | node 3.8135 | edge 0.2601 | kl 2.1425 | beta 0.0175
Epoch 015 | loss 4.6092 | node 3.8069 | edge 0.2554 | kl 1.9284 | beta 0.0188
Epoch 016 | loss 4.5609 | node 3.7652 | edge 0.2538 | kl 1.7178 | beta 0.0200
Epoch 017 | loss 4.4929 | node 3.7100 | edge 0.2498 | kl 1.5752 | beta 0.0213
Epoch 018 | loss 4.4679 | node 3.6910 | edge 0.2480 | kl 1.4674 | beta 0.0225
Epoch 019 | loss 4.4209 | node 3.6476 | edge 0.2471 | kl 1.3467 | beta 0.0238
Epoch 020 | loss 4.3699 | node 3.6096 | edge 0.2435 | kl 1.1941 | beta 0.0250
Epoch 021 | loss 4.3607 | node 3.6078 | edge 0.2412 | kl 1.1171 | beta 0.0263
Epoch 022 | loss 4.3076 | node 3.5642 | edge 0.2384 | kl 1.0241 | beta 0.0275
Epoch 023 | loss 4.2544 | node 3.5151 | edge 0.2373 | kl 0.9556 | beta 0.0287
Epoch 024 | loss 4.1830 | node 3.4586 | edge 0.2325 | kl 0.8969 | beta 0.0300
Epoch 025 | loss 4.2485 | node 3.5233 | edge 0.2332 | kl 0.8220 | beta 0.0312
Epoch 026 | loss 4.2048 | node 3.4767 | edge 0.2344 | kl 0.7646 | beta 0.0325
Epoch 027 | loss 4.1501 | node 3.4404 | edge 0.2286 | kl 0.7046 | beta 0.0338
Epoch 028 | loss 4.1294 | node 3.4175 | edge 0.2298 | kl 0.6457 | beta 0.0350
Epoch 029 | loss 4.1600 | node 3.4571 | edge 0.2270 | kl 0.6060 | beta 0.0362
Epoch 030 | loss 4.1059 | node 3.3973 | edge 0.2291 | kl 0.5706 | beta 0.0375
Epoch 031 | loss 4.0779 | node 3.3813 | edge 0.2252 | kl 0.5447 | beta 0.0388
Epoch 032 | loss 4.0474 | node 3.3597 | edge 0.2226 | kl 0.4927 | beta 0.0400
Epoch 033 | loss 4.0372 | node 3.3473 | edge 0.2238 | kl 0.4484 | beta 0.0413
Epoch 034 | loss 4.0142 | node 3.3345 | edge 0.2206 | kl 0.4221 | beta 0.0425
Epoch 035 | loss 3.9786 | node 3.3047 | edge 0.2190 | kl 0.3882 | beta 0.0438
Epoch 036 | loss 3.9690 | node 3.2997 | edge 0.2177 | kl 0.3593 | beta 0.0450
Epoch 037 | loss 3.9486 | node 3.2811 | edge 0.2172 | kl 0.3468 | beta 0.0463
Epoch 038 | loss 3.9327 | node 3.2701 | edge 0.2157 | kl 0.3295 | beta 0.0475
Epoch 039 | loss 3.9090 | node 3.2436 | edge 0.2168 | kl 0.3064 | beta 0.0488
Epoch 040 | loss 3.9177 | node 3.2602 | edge 0.2144 | kl 0.2845 | beta 0.0500
Epoch 041 | loss 3.8610 | node 3.2039 | edge 0.2146 | kl 0.2677 | beta 0.0500
Epoch 042 | loss 3.8407 | node 3.1951 | edge 0.2110 | kl 0.2494 | beta 0.0500
Epoch 043 | loss 3.8505 | node 3.2032 | edge 0.2119 | kl 0.2349 | beta 0.0500
Epoch 044 | loss 3.8583 | node 3.2094 | edge 0.2125 | kl 0.2261 | beta 0.0500
Epoch 045 | loss 3.8222 | node 3.1774 | edge 0.2114 | kl 0.2141 | beta 0.0500
Epoch 046 | loss 3.7965 | node 3.1568 | edge 0.2097 | kl 0.2129 | beta 0.0500
Epoch 047 | loss 3.7720 | node 3.1283 | edge 0.2112 | kl 0.2030 | beta 0.0500
Epoch 048 | loss 3.7634 | node 3.1334 | edge 0.2067 | kl 0.1982 | beta 0.0500
Epoch 049 | loss 3.7801 | node 3.1423 | edge 0.2094 | kl 0.1922 | beta 0.0500
Epoch 050 | loss 3.7318 | node 3.1056 | edge 0.2056 | kl 0.1874 | beta 0.0500
