system,split,parameter_name,parameter_value,default_threshold,precision,recall,f1,tp,fp,fn,tn,num_positive_edges,num_negative_edges,num_candidate_edges,graphs_evaluated,max_nodes,target_graphs,parent_temperature,weights_path,data_path
SN,normal,edge_threshold,0.25,0.6,0.71864533,0.9994824,0.83611171,5793,2268,3,67185,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.26,0.6,0.72186916,0.9994824,0.83828956,5793,2232,3,67221,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.27,0.6,0.72430608,0.9994824,0.8399304,5793,2205,3,67248,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.28,0.6,0.7269419,0.9994824,0.84169996,5793,2176,3,67277,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.29,0.6,0.72937917,0.99930987,0.84327,5792,2149,4,67304,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.3,0.6,0.73242286,0.99930987,0.84530064,5792,2116,4,67337,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.31,0.6,0.73474566,0.99930987,0.84684553,5792,2091,4,67362,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.32,0.6,0.73811648,0.99930987,0.84908011,5792,2055,4,67398,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.33,0.6,0.74091607,0.99913734,0.85086688,5791,2025,5,67428,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.34,0.6,0.74357987,0.99913734,0.85262073,5791,1997,5,67456,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.35,0.6,0.74578236,0.99913734,0.85406681,5791,1974,5,67479,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.36,0.6,0.74819121,0.99913734,0.85564421,5791,1949,5,67504,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
