system,metric,1-5,6-10,11-20,>20
SN,Service Dist. (JSD),0.024533166132906865,0.025706273320428085,0.015354431982583065,0.08138930900694857
SN,Operation Dist. (JSD),0.11674578557008052,0.04419289256570701,0.06751619166910937,0.22055627390058252
SN,Service-Operation Dist. (JSD),0.11674578557008052,0.0441928925657077,0.06751619166910934,0.22055627390058244
SN,Duration Dist. (Wass. log1p),0.23367758442698333,0.12532054035493093,0.10033876469979644,0.35911659445159855
SN,Duration Mean (MAE log1p),0.1286410723161744,0.04041231030414316,0.048250429754936874,0.07758866587395286
SN,Edge Count (MAE),7.203703703703704,9.921875,4.460377358490565,96.74308300395256
SN,Graph Depth (MAE),1.962962962962963,2.671875,3.8905660377358493,6.300395256916996
SN,Branching Factor (MAE),1.4576131687242797,0.7315426587301586,0.7592907505615605,5.730182143806109
TT,Service Dist. (JSD),0.18385958953841466,0.04144566145420858,0.48386814235625397,0.10095954061348067
TT,Operation Dist. (JSD),0.19092649192627517,0.08305466291536284,0.3756290168858477,0.09191923948909218
TT,Service-Operation Dist. (JSD),0.19092649192627517,0.08657704967686003,0.999999999994611,0.9999999999999377
TT,Duration Dist. (Wass. log1p),0.37957290979715697,0.3457170640816156,1.1828162546632222,0.14668328424380458
TT,Duration Mean (MAE log1p),0.3537391946370665,0.3369614170399835,0.7011040752993232,0.018133173644496736
TT,Edge Count (MAE),0.32000000000000006,3.2947368421052627,14.333333333333334,45.96135265700483
TT,Graph Depth (MAE),0.32000000000000006,1.6947368421052633,3.6666666666666665,3.9516908212560393
TT,Branching Factor (MAE),0.15999999999999998,0.8933333333333338,1.1272727272727274,3.4084496823627255
