run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples
14,SN,flat_vae,0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,0,1600,0,0,800,800,200,200,,,3676,1410,,,,,,5.829697,0.720016,0.539231,0.720016,0.605478,0.722091,0.995919,0.837183,0.0625,0.000709,0.001403,,,,,,,,,,,,
15,TT,flat_vae,10,90.0,10.041,89.959,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,99,887,58,41,428,459,107,115,304,216,760,540,986,520,1300,760,540,0.506803,0.680769,0.676289,0.680769,0.674764,0.701754,0.789474,0.743034,0.640449,0.527778,0.57868,,,,,,,,,,,,
16,SN,flat_vae,10,90.0,10.017,89.983,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,178,1599,129,49,800,799,200,200,,,3676,1410,,,,,,0.367475,0.819505,0.830701,0.819505,0.823367,0.899942,0.844124,0.87114,0.650183,0.755319,0.698819,,,,,,,,,,,,
17,TT,flat_vae,30,70.0,29.968,70.032,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,380,888,222,158,428,460,107,115,304,216,760,540,1268,520,1300,760,540,0.461325,0.728462,0.799438,0.728462,0.725248,0.932059,0.577632,0.713241,0.612786,0.940741,0.742148,,,,,,,,,,,,
18,SN,flat_vae,30,70.0,30.009,69.991,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,686,1600,496,190,800,800,200,200,,,3676,1410,,,,,,0.280556,0.841919,0.85795,0.841919,0.846399,0.928145,0.846844,0.885633,0.674942,0.829078,0.744112,,,,,,,,,,,,
19,TT,flat_vae,50,50.0,50.0,50.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,888,888,519,369,428,460,107,115,304,216,760,540,1776,520,1300,760,540,0.450538,0.73,0.780615,0.73,0.729191,0.894027,0.610526,0.725567,0.620999,0.898148,0.734292,,,,,,,,,,,,
20,SN,flat_vae,50,50.0,50.0,50.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,1600,1600,1156,444,800,800,200,200,,,3676,1410,,,,,,0.27192,0.848604,0.875376,0.848604,0.854312,0.954346,0.83025,0.887984,0.669492,0.896454,0.766525,,,,,,,,,,,,
21,TT,flat_vae,70,30.0,70.0,30.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,2072,888,1212,860,428,460,107,115,304,216,760,540,2960,520,1300,760,540,0.444629,0.733846,0.757753,0.733846,0.735451,0.841584,0.671053,0.746706,0.639769,0.822222,0.719611,,,,,,,,,,,,
22,SN,flat_vae,70,30.0,69.998,30.002,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,3733,1600,2698,1035,800,800,200,200,,,3676,1410,,,,,,0.268389,0.852536,0.875773,0.852536,0.857745,0.951265,0.838955,0.891587,0.678959,0.887943,0.769514,,,,,,,,,,,,
23,TT,flat_vae,100,0.0,100.0,0.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,4676,0,2735,1941,0,0,107,115,304,216,760,540,4676,520,1300,760,540,0.438835,0.727692,0.835519,0.727692,0.719967,1.0,0.534211,0.696398,0.604027,1.0,0.753138,,,,,,,,,,,,
