run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples
1,TT,hierarchical_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,1600,0,0,800,800,200,200,0,0,760,540,1600,400,1300,760,540,0.491913,0.728462,0.725969,0.728462,0.725091,0.745476,0.813158,0.777848,0.698514,0.609259,0.650841,,,,,,,,,,,,
2,TT,hierarchical_vae,10.0,90.0,10.017,89.983,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,178,1599,104,74,800,799,200,200,26,18,760,540,1777,444,1300,760,540,0.45185,0.71,0.720024,0.71,0.711991,0.783704,0.696053,0.737282,0.6304,0.72963,0.676395,,,,,,,,,,,,
3,TT,hierarchical_vae,30.0,70.0,30.009,69.991,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,686,1600,401,285,800,800,200,200,100,71,760,540,2286,571,1300,760,540,0.442726,0.733077,0.773934,0.733077,0.733312,0.877514,0.631579,0.734507,0.628154,0.875926,0.731632,,,,,,,,,,,,
4,TT,hierarchical_vae,50.0,50.0,50.0,50.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,1600,1600,936,664,800,800,200,200,234,166,760,540,3200,800,1300,760,540,0.438525,0.732308,0.763024,0.732308,0.733449,0.855172,0.652632,0.740299,0.633333,0.844444,0.72381,,,,,,,,,,,,
5,TT,hierarchical_vae,70.0,30.0,69.998,30.002,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,3733,1600,2183,1550,800,800,200,200,304,216,760,540,5333,920,1300,760,540,0.437791,0.736923,0.785421,0.736923,0.736413,0.897338,0.621053,0.734059,0.627907,0.9,0.739726,,,,,,,,,,,,
6,TT,hierarchical_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4676,0,2735,1941,0,0,0,0,304,216,760,540,4676,520,1300,760,540,0.438727,0.727692,0.835519,0.727692,0.719967,1.0,0.534211,0.696398,0.604027,1.0,0.753138,,,,,,,,,,,,
