mode_version,real_percent_requested,real_percent_actual,synth_percent_actual,real_holdout_ratio,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,test_normal_real,test_abnormal_real,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1
v4_tt_specific_bidir_sage,10.0,10.017,89.983,0.2,178,1599,101,77,800,799,200,200,1243,946,0.799494,0.6455,0.703413,0.6455,0.638032,0.813423,0.48753,0.609658,0.558864,0.853066,0.675314
v4_tt_specific_bidir_sage,30.0,30.009,69.991,0.2,686,1600,390,296,800,800,200,200,1243,946,0.585077,0.649612,0.700715,0.649612,0.643959,0.805128,0.505229,0.62086,0.56352,0.839323,0.67431
v4_tt_specific_bidir_sage,50.0,50.0,50.0,0.2,1600,1600,908,692,800,800,200,200,1243,946,0.571976,0.660119,0.699104,0.660119,0.657472,0.793184,0.543041,0.644699,0.575486,0.813953,0.674256
v4_tt_specific_bidir_sage,70.0,69.998,30.002,0.2,3733,1600,2120,1613,800,800,200,200,1243,946,0.564327,0.647784,0.680274,0.647784,0.646209,0.766366,0.546259,0.637858,0.567153,0.781184,0.657181
v4_tt_specific_bidir_sage,100.0,100.0,0.0,0.2,8753,0,4970,3783,0,0,200,200,1243,946,0.543974,0.675651,0.701956,0.675651,0.675507,0.783813,0.592116,0.67461,0.5944,0.785412,0.676685
v4_tt_specific_bidir_sage,0.0,0.0,100.0,0.2,0,1600,0,0,800,800,200,200,1243,946,6.1041,0.459571,0.497263,0.459571,0.431909,0.55137,0.259051,0.35249,0.426168,0.723044,0.53626
