mode_version,generator,syn_normal_path,syn_abnormal_path,real_percent_requested,real_percent_actual,synth_percent_actual,real_holdout_ratio,real_val_ratio,min_nodes_filter,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1
v5_tt_real_validation,flat_vae,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,100.0,100.0,0.0,0.2,0.1,3,7877,0,4473,3404,0,0,1243,946,497,379,1243,946,4660,521,1315,770,545,0.431152,0.740684,0.838,0.740684,0.734983,0.995381,0.55974,0.716542,0.615646,0.99633,0.761037
v5_tt_real_validation,hierarchical_vae,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.0,0.0,100.0,0.2,0.1,3,0,1600,0,0,800,800,200,200,497,379,1243,946,867,521,1315,770,545,4.846494,0.463878,0.546688,0.463878,0.412367,0.632653,0.201299,0.305419,0.425234,0.834862,0.563467
v5_tt_real_validation,hierarchical_vae,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,10.0,10.017,89.983,0.2,0.1,3,178,1599,101,77,800,799,200,200,497,379,1243,946,972,521,1315,770,545,0.45302,0.737643,0.766148,0.737643,0.73901,0.855946,0.663636,0.747623,0.639276,0.842202,0.726841
v5_tt_real_validation,hierarchical_vae,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,30.0,30.009,69.991,0.2,0.1,3,686,1600,390,296,800,800,200,200,497,379,1243,946,1267,521,1315,770,545,0.44999,0.742205,0.80973,0.742205,0.739855,0.940695,0.597403,0.730739,0.624697,0.946789,0.752735
v5_tt_real_validation,hierarchical_vae,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,50.0,50.0,50.0,0.2,0.1,3,1600,1600,909,691,800,800,200,200,497,379,1243,946,1812,521,1315,770,545,0.458209,0.743726,0.777513,0.743726,0.744689,0.873921,0.657143,0.750185,0.641304,0.866055,0.736924
v5_tt_real_validation,hierarchical_vae,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,70.0,69.998,30.002,0.2,0.1,3,3733,1600,2120,1613,800,800,200,200,497,379,1243,946,3065,521,1315,770,545,0.442737,0.743726,0.776331,0.743726,0.74478,0.871355,0.65974,0.750924,0.642077,0.862385,0.7361
v5_tt_real_validation,hierarchical_vae,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,100.0,100.0,0.0,0.2,0.1,3,7877,0,4473,3404,0,0,200,200,497,379,1243,946,4660,521,1315,770,545,0.432665,0.742205,0.841065,0.742205,0.7364,1.0,0.55974,0.717735,0.616516,1.0,0.762771
v3_real_pool_with_holdout,empirical,./datasets/baselines/SN_normal_empirical_random_tree.pt,./datasets/baselines/SN_abnormal_empirical_random_tree.pt,0.0,0.0,100.0,0.2,0,20342,0,0,14703,5639,3676,1410,3676,1410,2.965112,0.328746,0.605827,0.328746,0.258703,0.731449,0.112622,0.195191,0.278319,0.892199,0.424283
v3_real_pool_with_holdout,empirical,./datasets/baselines/SN_normal_empirical_random_tree.pt,./datasets/baselines/SN_abnormal_empirical_random_tree.pt,10.0,9.999,90.001,0.2,2260,20342,1633,627,14703,5639,3676,1410,3676,1410,0.283078,0.841919,0.87354,0.841919,0.848313,0.957034,0.818009,0.882077,0.655864,0.904255,0.760286
v3_real_pool_with_holdout,empirical,./datasets/baselines/SN_normal_empirical_random_tree.pt,./datasets/baselines/SN_abnormal_empirical_random_tree.pt,30.0,30.0,70.0,0.2,8718,20342,6301,2417,14703,5639,3676,1410,3676,1410,0.263182,0.843492,0.886394,0.843492,0.850626,0.97777,0.801687,0.881016,0.648166,0.952482,0.771396
v3_real_pool_with_holdout,empirical,./datasets/baselines/SN_normal_empirical_random_tree.pt,./datasets/baselines/SN_abnormal_empirical_random_tree.pt,50.0,50.0,50.0,0.2,18307,18307,13232,5075,13232,5075,3676,1410,3676,1410,0.253221,0.855879,0.901358,0.855879,0.862604,0.993626,0.805767,0.88989,0.660808,0.986525,0.791465
