mode_version,real_percent_requested,real_percent_actual,synth_percent_actual,real_holdout_ratio,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,test_normal_real,test_abnormal_real,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1
v4_tt_specific_bidir_sage,10.0,10.017,89.983,0.2,178,1599,101,77,800,799,200,200,1243,946,0.905763,0.624943,0.683495,0.624943,0.615949,0.790634,0.461786,0.583037,0.54272,0.839323,0.659195
v4_tt_specific_bidir_sage,30.0,30.009,69.991,0.2,686,1600,390,296,800,800,200,200,1243,946,0.626897,0.629054,0.675776,0.629054,0.623508,0.773131,0.490748,0.600394,0.547857,0.810782,0.653879
v4_tt_specific_bidir_sage,50.0,50.0,50.0,0.2,1600,1600,908,692,800,800,200,200,1243,946,0.576195,0.623116,0.681767,0.623116,0.613959,0.788674,0.459372,0.58058,0.541297,0.838266,0.657818
v4_tt_specific_bidir_sage,70.0,69.998,30.002,0.2,3733,1600,2120,1613,800,800,200,200,1243,946,0.551172,0.623116,0.681767,0.623116,0.613959,0.788674,0.459372,0.58058,0.541297,0.838266,0.657818
v4_tt_specific_bidir_sage,90.0,90.004,9.996,0.2,8752,972,4969,3783,486,486,200,200,1243,946,0.545932,0.624486,0.683602,0.624486,0.615303,0.791148,0.460177,0.581892,0.542292,0.840381,0.659204
v4_tt_specific_bidir_sage,100.0,100.0,0.0,0.2,8753,0,4970,3783,0,0,200,200,1243,946,0.550144,0.629054,0.80039,0.629054,0.594785,1.0,0.346742,0.514934,0.538111,1.0,0.699704
v4_tt_specific_bidir_sage,0.0,0.0,100.0,0.2,0,1600,0,0,800,800,200,200,1243,946,4.374828,0.430333,0.457488,0.430333,0.401433,0.496587,0.234111,0.318207,0.406114,0.688161,0.510789
