mode_version,real_percent_requested,real_percent_actual,synth_percent_actual,real_holdout_ratio,real_val_ratio,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1
v5_tt_real_validation,100.0,100.0,0.0,0.2,0.1,7877,0,4473,3404,0,0,200,200,497,379,1243,946,0.525848,0.696208,0.703794,0.696208,0.69759,0.759425,0.680611,0.717862,0.630698,0.716702,0.670955
v5_tt_real_validation,100.0,100.0,0.0,0.2,0.1,7877,0,4473,3404,0,0,200,200,497,379,1243,946,0.523017,0.698949,0.700186,0.698949,0.699445,0.740527,0.72325,0.731787,0.647179,0.667019,0.65695
