system,preset,real_path,synthetic_path,real_traces,synthetic_traces,real_unique_trace_signatures,synthetic_unique_trace_signatures,real_unique_trace_signature_rate,synthetic_unique_trace_signature_rate,real_trace_signature_entropy,synthetic_trace_signature_entropy,duplicate_rate,near_duplicate_rate,near_duplicate_threshold,exact_train_match_rate,novelty_rate,node_pattern_coverage,edge_pattern_coverage,service_operation_pattern_coverage,real_unique_node_patterns,synthetic_unique_node_patterns,real_unique_edge_patterns,synthetic_unique_edge_patterns,nearest_real_distance_mean,nearest_real_distance_median,nearest_real_distance_p05,nearest_real_distance_p95,nearest_real_similarity_mean
SN,fixed_size_precise,./datasets/SN_data.pt,./datasets/fixed_size/order_SN_fixed_size_precise.pt,1244,1244,17,1244,0.013665594855305467,1.0,3.10593611396198,10.280770770130703,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,59,59,66,3481,0.9395154183713356,0.9473684210526316,0.88,0.9745295800090321,0.060484581628664436
TT,fixed_size_precise,./datasets/TT_data.pt,./datasets/fixed_size/order_TT_fixed_size_precise.pt,1244,1244,7,723,0.005627009646302251,0.5811897106109325,2.793320432007732,8.266212422044054,0.4662379421221865,0.4662379421221865,0.05,0.018488745980707395,0.9815112540192926,1.0,1.0,1.0,24,24,17,576,0.8864697482800005,0.9230769230769231,0.8,0.9462854930304594,0.11353025171999953
