system,generator,trace_class,real_graphs,synthetic_graphs,node_count_ks_similarity,node_count_ks_stat,edge_count_ks_similarity,edge_count_ks_stat,density_ks_similarity,density_ks_stat,avg_degree_ks_similarity,avg_degree_ks_stat,max_degree_ks_similarity,max_degree_ks_stat,roots_ratio_ks_similarity,roots_ratio_ks_stat,leaves_ratio_ks_similarity,leaves_ratio_ks_stat,duration_mean_ks_similarity,duration_mean_ks_stat,duration_std_ks_similarity,duration_std_ks_stat,unique_services_ks_similarity,unique_services_ks_stat,unique_ops_ks_similarity,unique_ops_ks_stat,all_degrees_ks_similarity,all_degrees_ks_stat,all_durations_ks_similarity,all_durations_ks_stat,node_count_wasserstein_similarity,node_count_wasserstein_distance,edge_count_wasserstein_similarity,edge_count_wasserstein_distance,density_wasserstein_similarity,density_wasserstein_distance,avg_degree_wasserstein_similarity,avg_degree_wasserstein_distance,service_js_similarity,operation_js_similarity,service_operation_js_similarity,service_operation_valid_mass,graph_feature_mmd_similarity,graph_feature_mmd,structure_mean,timing_mean,semantic_mean,overall_fidelity
TT,random_sampling,normal,1000,993,0.36643101711983883,0.6335689828801612,0.38657200402819736,0.6134279959718026,0.4612215508559919,0.5387784491440081,0.5246727089627392,0.47532729103726085,0.7531993957703927,0.24680060422960726,0.6675720040281974,0.3324279959718026,0.6193353474320242,0.3806646525679758,0.0010000000000000009,0.999,0.005007049345417958,0.994992950654582,0.017119838872104776,0.9828801611278952,0.015105740181268867,0.9848942598187311,0.6651313133120728,0.33486868668792724,0.004416850708862552,0.9955831492911374,0.27710440238634026,77.85287109768379,0.286679296759786,68.19432124874119,0.3501959610602895,0.11529826670439866,0.34210538529898105,2.130561302006824,0.6400520359981967,0.40289236606392076,0.11185464811721191,0.09509827757101981,0.567212437655693,0.5670213758387477,0.5320629182435609,0.0027084253544312764,0.3124743319375873,0.2824152251785265
TT,random_sampling,abnormal,1000,901,0.5671642619311876,0.4328357380688124,0.6248779134295228,0.37512208657047724,0.6260510543840178,0.37394894561598224,0.5549389567147613,0.4450610432852386,0.6906437291897891,0.3093562708102109,0.42375360710321863,0.5762463928967814,0.4516215316315205,0.5483784683684795,0.0020000000000000018,0.998,0.0031098779134295373,0.9968901220865705,0.22863485016648166,0.7713651498335183,0.20310765815760268,0.7968923418423973,0.7157698423931595,0.28423015760684045,0.02753647892637867,0.9724635210736213,0.6669954270923208,4.283599334073252,0.661973852884322,3.687523862375139,0.29472860558267544,0.15078822640208048,0.5126661986983424,1.0431900701988195,0.6688506564447592,0.4468434263387292,0.11643594236181909,0.09603106125970665,0.6435451448419531,0.44076309925216317,0.6318558432691989,0.014768239463189337,0.33204027160125354,0.32622145144454723
TT,random_sampling,combined,2000,1894,0.5324582893347413,0.46754171066525874,0.5736409714889124,0.42635902851108765,0.5749107708553327,0.42508922914466735,0.5390707497360084,0.46092925026399156,0.7824820485744456,0.21751795142555438,0.7018585005279832,0.2981414994720169,0.6156282998944034,0.3843717001055966,0.002027983104540665,0.9979720168954593,0.005639915522703265,0.9943600844772967,0.11774023231256603,0.882259767687434,0.1045406546990496,0.8954593453009504,0.8247674706839832,0.17523252931601685,0.010840502839435717,0.9891594971605643,0.3170834542570782,42.73889334741289,0.3259460295338913,37.283298838437176,0.33416597621794575,0.13398203354933286,0.4060497400066524,1.6132841117740035,0.6501233870517682,0.41601658906294725,0.11356627941637465,0.09518948469611582,0.6222488068826313,0.47441525516073146,0.6356541582222935,0.006434242971988191,0.31872393505680147,0.3202707787503611
TT,empirical,normal,1000,1000,0.977,0.023,0.634,0.366,0.652,0.348,0.0,1.0,0.673,0.327,0.0,1.0,0.0,1.0,0.732,0.268,0.783,0.217,0.45799999999999996,0.542,0.558,0.442,0.28700197701303487,0.7129980229869651,0.990233300612246,0.009766699387753972,0.973714010272685,0.9909999999999998,0.5148360678315698,29.705000000000002,0.48100360858867797,0.13652901220449695,0.4642968886298763,1.8609645642983172,0.9339331963235944,0.8956183801103614,0.8953297585002558,0.9785757801394436,0.6865268346164302,0.3761099655119491,0.5585041159470664,0.8611166503061229,0.9258642787684138,0.7818283483405345
TT,empirical,abnormal,1000,1000,0.943,0.057,0.514,0.486,0.45999999999999996,0.54,0.0,1.0,0.27,0.73,0.0,1.0,0.0,1.0,0.6839999999999999,0.316,0.761,0.239,0.6,0.4,0.698,0.302,0.5612755043900682,0.43872449560993176,0.9735629121184454,0.026437087881554678,0.9167089893346876,0.8200000000000007,0.5019937694704051,7.9929999999999986,0.4658718305623487,0.230079951360615,0.5086566080240191,1.5420734306121033,0.8569661745249706,0.8037410262779414,0.8031252093506978,0.9259833795013851,0.6668615674563237,0.4051727996499591,0.4878767245494845,0.8287814560592226,0.8474539474137487,0.7213707093408185
TT,empirical,combined,2000,2000,0.971,0.029,0.6475,0.3525,0.632,0.368,0.0,1.0,0.47150000000000003,0.5285,0.0,1.0,0.0,1.0,0.7095,0.2905,0.7925,0.2075,0.529,0.471,0.628,0.372,0.37300947389639183,0.6269905261036082,0.9882822775837736,0.011717722416226373,0.9713253148540956,0.8345000000000012,0.6012504328188764,18.64099999999999,0.47160906832223504,0.18330448178255598,0.4853517519173086,1.7015189974552105,0.9139729748280407,0.8691757446749699,0.8690730819632125,0.9662699955925437,0.7105702102040476,0.34168751830598176,0.5436542405857772,0.8488911387918868,0.9046229492646917,0.7657227762141186
TT,flat_vae,normal,1000,535,0.7130000000000001,0.287,0.7271028037383178,0.27289719626168224,0.7224953271028037,0.27750467289719627,0.6037383177570094,0.39626168224299063,0.7271028037383178,0.27289719626168224,0.721626168224299,0.2783738317757009,0.7065420560747664,0.29345794392523367,0.36318691588785046,0.6368130841121495,0.27868224299065425,0.7213177570093458,0.638177570093458,0.36182242990654206,0.6373831775700934,0.36261682242990656,0.6566892264115913,0.3433107735884086,0.7311057243412404,0.2688942756587596,0.36126487812148866,20.51963551401869,0.6012296058543273,14.555411214953274,0.7806937489415454,0.028245990536973645,0.2965681176537879,1.5120729188227156,0.42641387468287273,0.41938380048211343,0.37384206521709984,0.7840817963111467,0.8511905396678546,0.16111927456853214,0.714474145487985,0.5471463201145454,0.5009303841733082,0.5875169499252796
TT,flat_vae,abnormal,1000,575,0.9913913043478261,0.008608695652173913,0.7182608695652174,0.2817391304347826,0.768695652173913,0.23130434782608697,0.49913043478260866,0.5008695652173913,0.6817391304347826,0.3182608695652174,0.7376521739130435,0.2623478260869565,0.5252173913043479,0.4747826086956522,0.17726086956521736,0.8227391304347826,0.012173913043478257,0.9878260869565217,0.7792173913043479,0.22078260869565217,0.6330434782608696,0.36695652173913046,0.4065567665620766,0.5934432334379234,0.6970053880529664,0.3029946119470336,0.9887164086824033,0.11108695652173928,0.31103957350644573,17.99691304347826,0.6952414777983207,0.06115832805362206,0.31947874581889135,2.078539090393682,0.6383263273910655,0.6105136149892574,0.5896250245763708,0.8245488654636413,0.8173234488040522,0.20172036430016216,0.6975853723814966,0.4371331288090919,0.6657534581050837,0.600157319765224
TT,flat_vae,combined,2000,1110,0.8565,0.1435,0.7531531531531531,0.24684684684684685,0.7509504504504505,0.24904954954954955,0.5495495495495495,0.45045045045045046,0.7531531531531531,0.24684684684684685,0.7505495495495496,0.24945045045045044,0.6126126126126126,0.38738738738738737,0.2687117117117117,0.7312882882882883,0.16295945945945944,0.8370405405405406,0.710536036036036,0.28946396396396396,0.6351351351351351,0.36486486486486486,0.6230973796843533,0.37690262031564675,0.7949205789094473,0.2050794210905526,0.5741006443606396,10.307963963963958,0.7694250483715355,7.373837837837841,0.7359522103634961,0.04366873593758485,0.3140817948222099,1.7959065803237237,0.5301437912198764,0.5133258775347602,0.48280236956719225,0.8054794520547945,0.8602163689477107,0.15057132957882935,0.7352314364197673,0.5318161453105795,0.5829378725941559,0.6166618181081676
TT,hierarchical_vae,normal,1000,535,0.7130000000000001,0.287,0.49189719626168227,0.5081028037383177,0.47576635514018695,0.524233644859813,0.3532710280373832,0.6467289719626168,0.3774672897196262,0.6225327102803738,0.47676635514018695,0.523233644859813,0.4823738317757009,0.5176261682242991,0.7317383177570094,0.26826168224299063,0.6866822429906543,0.3133177570093458,0.8213551401869159,0.17864485981308412,0.865214953271028,0.13478504672897196,0.82864263099851,0.17135736900149,0.9284201125693321,0.07157988743066795,0.36126487812148866,20.51963551401869,0.21215540172746317,24.894028037383176,0.6541252370520788,0.04376508929813443,0.3827841760404116,0.99551259723842,0.7260108397228096,0.7172470589662108,0.6904670511842372,0.9655172413793104,0.8324582019608464,0.18337226624283387,0.5817861003026049,0.8300792151631707,0.774810547813142,0.7288919544263059
TT,hierarchical_vae,abnormal,1000,575,0.9913913043478261,0.008608695652173913,0.5756521739130435,0.42434782608695654,0.3860869565217391,0.6139130434782609,0.3843478260869565,0.6156521739130435,0.45913043478260873,0.5408695652173913,0.3843478260869565,0.6156521739130435,0.34143478260869564,0.6585652173913044,0.7137391304347827,0.2862608695652174,0.712,0.288,0.9515217391304348,0.04847826086956522,0.9669565217391305,0.03304347826086956,0.32386727163657747,0.6761327283634225,0.9270039734157084,0.07299602658429165,0.9887164086824033,0.11108695652173928,0.25812294803577485,6.553000000000001,0.543175774759409,0.09167456787842321,0.39918667974516464,0.9591448036370931,0.9600365723007875,0.9249226937468996,0.9230777363295981,0.9894586385563695,0.7822789476737396,0.24554389146268973,0.5575364164232129,0.8203715519252455,0.9493739102334138,0.7757606261939575
TT,hierarchical_vae,combined,2000,1110,0.8565,0.1435,0.5567567567567567,0.44324324324324327,0.4923918918918919,0.5076081081081081,0.36936936936936937,0.6306306306306306,0.4783783783783784,0.5216216216216216,0.49289189189189186,0.5071081081081081,0.49559459459459454,0.5044054054054055,0.7241036036036036,0.2758963963963964,0.7239054054054054,0.2760945945945946,0.911436936936937,0.08856306306306307,0.9334639639639639,0.06653603603603604,0.7607647348896261,0.23923526511037385,0.9209026890615959,0.07909731093840411,0.5741006443606396,10.307963963963958,0.3356298243755743,15.727999999999993,0.5889695781372382,0.06724714362862319,0.3911663809762709,0.976970681315361,0.840732108025722,0.820139790516919,0.8099320053772978,0.9781766650921114,0.8159301118256572,0.20342657495844607,0.6185844633016686,0.8225031463325998,0.8622451422530126,0.767777583962427
SN,random_sampling,normal,1000,1000,0.14400000000000002,0.856,0.14800000000000002,0.852,0.243,0.757,0.514,0.486,0.742,0.258,0.5409999999999999,0.459,0.51,0.49,0.0,1.0,0.0020000000000000018,0.998,0.15300000000000002,0.847,0.03200000000000003,0.968,0.5158792329679772,0.4841207670320228,0.002889378493019179,0.9971106215069808,0.07942691350080733,635.212,0.07847582415743237,605.669,0.3526312790753763,0.07645553013981561,0.4070630193583582,3.3494257425223903,0.6947257450697788,0.7077940018962698,0.10350643651773017,0.08296305313774423,0.5425078013968802,0.6115528132158417,0.40705529062355106,0.0014446892465095895,0.39724730915538076,0.2685824296751471
SN,random_sampling,abnormal,1000,1000,0.46299999999999997,0.537,0.499,0.501,0.487,0.513,0.5369999999999999,0.463,0.669,0.331,0.34099999999999997,0.659,0.5549999999999999,0.445,0.0020000000000000018,0.998,0.06599999999999995,0.934,0.16500000000000004,0.835,0.38,0.62,0.7197045535358176,0.28029544646418236,0.10218721374788153,0.8978127862521185,0.5543960657310782,7.4300000000000015,0.5482739650667032,6.569000000000001,0.3204354166747526,0.13975724221361274,0.46634271673609606,1.2283040538268477,0.5409230671564785,0.7866091083927365,0.11175871272632654,0.08720163128223582,0.731355014397849,0.31285628131396237,0.5865799382762381,0.05209360687394077,0.3816231298894443,0.3400988916798744
SN,random_sampling,combined,2000,2000,0.4645,0.5355,0.47750000000000004,0.5225,0.491,0.509,0.5255000000000001,0.4745,0.7055,0.2945,0.736,0.264,0.7090000000000001,0.291,0.005499999999999949,0.9945,0.05049999999999999,0.9495,0.15900000000000003,0.841,0.26949999999999996,0.7305,0.6334714980382965,0.36652850196170345,0.012413845150968661,0.9875861548490313,0.10196957751607105,321.253,0.10645514295058744,305.969,0.38624719362035853,0.10810638617671417,0.4467953847519851,2.288559865734779,0.6792445842215444,0.7495544610146904,0.1059890724154271,0.08306306000350931,0.6899997548241223,0.37106403671825405,0.569638750408917,0.008956922575484305,0.40446279441379285,0.327686155799398
SN,empirical,normal,1000,1000,0.971,0.029,0.554,0.446,0.43799999999999994,0.562,0.0,1.0,0.5920000000000001,0.408,0.0,1.0,0.0,1.0,0.716,0.284,0.795,0.205,0.20099999999999996,0.799,0.526,0.474,0.1709119439477429,0.8290880560522571,0.9919835726045652,0.008016427395434844,0.9116397345093137,9.599000000000007,0.6817528308385346,54.312000000000005,0.4464188099062817,0.09482020593168922,0.4634742749023707,1.9623051823618627,0.9676869158398822,0.9470540150607818,0.9470540150607819,1.0,0.6489772697838779,0.4323575863368708,0.48212703053308864,0.8539917863022826,0.9654487364903614,0.7671891844419109
SN,empirical,abnormal,1000,1000,0.952,0.048,0.518,0.482,0.347,0.653,0.0,1.0,0.30000000000000004,0.7,0.0,1.0,0.0,1.0,0.782,0.218,0.774,0.226,0.43999999999999995,0.56,0.791,0.209,0.527307366638442,0.472692633361558,0.9899890257249393,0.010010974275060707,0.9485633916013663,0.5120000000000003,0.47079517534062987,9.477,0.518489157566463,0.1418728997694515,0.49599259433616605,1.7190269973959629,0.9906331273647394,0.9607812341046903,0.9607812341046904,1.0,0.6363572651781171,0.45199513565613514,0.4686663759737941,0.8859945128624697,0.9780488988935301,0.7775699292432646
SN,empirical,combined,2000,2000,0.98,0.02,0.5840000000000001,0.416,0.593,0.407,0.0,1.0,0.44599999999999995,0.554,0.0,1.0,0.0,1.0,0.76,0.24,0.794,0.206,0.3205,0.6795,0.6645,0.3355,0.22331683630591093,0.7766831636940891,0.9897223621334458,0.010277637866554223,0.9401857423597084,4.769499999999976,0.7439682907916462,31.894499999999915,0.4928436414855266,0.11814872398722424,0.4791659123596351,1.8406660898789127,0.9664254661966148,0.9498684627127303,0.9498684627127303,1.0,0.6912260681522524,0.36928834786281617,0.5025061292083091,0.8748611810667228,0.9665405979055188,0.7813026360601837
SN,flat_vae,normal,1000,1000,0.721,0.279,0.716,0.284,0.825,0.175,0.5549999999999999,0.445,0.721,0.279,0.583,0.417,0.5509999999999999,0.449,0.536,0.464,0.502,0.498,0.849,0.151,0.754,0.246,0.5799529240913847,0.42004707590861534,0.8270235770059067,0.17297642299409333,0.46735804470841114,42.974999999999994,0.551467317093578,35.629999999999995,0.8187616662844787,0.015690883230298,0.41131734314620416,1.1659396825396826,0.5330761656156602,0.32515855989790743,0.32515855989790754,1.0,0.9111669578458056,0.09302912974786981,0.7184456974195985,0.6815117885029534,0.5458483213528688,0.6486019357584736
SN,flat_vae,abnormal,1000,1000,0.982,0.018,0.738,0.262,0.789,0.211,0.4,0.6,0.677,0.323,0.542,0.458,0.573,0.427,0.134,0.866,0.0,1.0,0.896,0.104,0.7110000000000001,0.289,0.5619161377038088,0.43808386229619123,0.6286881475291277,0.3713118524708723,0.9685647756138865,0.29700000000000026,0.536350636822477,12.976999999999997,0.8175132383150907,0.03280415523174145,0.4292594672021378,1.5840393010565423,0.7666620303942338,0.6555464806920731,0.6555464806920732,1.0,0.7346624408441127,0.30834414942105437,0.6975112255068459,0.38134407376456386,0.769438747944595,0.6160980157386683
SN,flat_vae,combined,2000,2000,0.8575,0.1425,0.7364999999999999,0.2635,0.8275,0.1725,0.47750000000000004,0.5225,0.885,0.115,0.7905,0.2095,0.7015,0.2985,0.39249999999999996,0.6075,0.378,0.622,0.8725,0.1275,0.758,0.242,0.5412521360204685,0.4587478639795315,0.7445556285196268,0.25544437148037324,0.6306146075851935,21.621,0.7541752989804356,14.8315,0.8251385359419352,0.023286108667276484,0.4238061443951314,1.3701894917981123,0.5736207462024175,0.40516631349847876,0.40516631349847865,1.0,0.8578981581916064,0.15326988328557056,0.7404500420302964,0.5685278142598134,0.5959883432998437,0.6349887331966512
SN,hierarchical_vae,normal,1000,1000,0.977,0.023,0.778,0.222,0.724,0.276,0.554,0.446,0.8220000000000001,0.178,0.6659999999999999,0.334,0.634,0.366,0.829,0.171,0.83,0.17,0.845,0.155,0.856,0.144,0.9408593931620629,0.05914060683793709,0.8724651501671891,0.12753484983281094,0.9388212370472591,6.465000000000004,0.5288426945923996,36.785999999999994,0.4099570441775603,0.11308277728191124,0.344205963762952,1.6349724413847742,0.9159048895625411,0.787626649555385,0.787626649555385,1.0,0.9504112308787727,0.05086051344150122,0.8208958034344052,0.8507325750835946,0.8727895471683278,0.8481393085621093
