run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples,seed,pr_auc,false_alarm_rate,tn,fp,fn,tp
4,SN,hierarchical_vae,10.0,90.0,10.003,89.997,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,1005,9042,378,627,3404,5638,851,1410,,,851,1410,,,,,,0.616389,0.64927,0.645471,0.64927,0.647067,0.53616,0.505288,0.520266,0.711446,0.73617,0.723597,,,,,,,,,,,,,43,0.79364,0.494712,430,421,372,1038
5,TT,hierarchical_vae,30.0,70.0,29.996,70.004,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2226,5195,1302,924,3038,2157,760,540,304,216,760,540,7421,1820,1300,760,540,0.649371,0.649231,0.647475,0.649231,0.648199,0.694872,0.713158,0.703896,0.580769,0.559259,0.569811,,,,,,,,,,,,,43,0.628054,0.286842,542,218,238,302
6,SN,hierarchical_vae,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.603035,0.656347,0.655634,0.656347,0.65598,0.543943,0.53819,0.541051,0.723044,0.72766,0.725345,,,,,,,,,,,,,43,0.811265,0.46181,458,393,384,1026
7,TT,hierarchical_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.607307,0.703846,0.713482,0.703846,0.683972,0.690355,0.894737,0.77937,0.746032,0.435185,0.549708,,,,,,,,,,,,,43,0.651914,0.105263,680,80,305,235
8,SN,hierarchical_vae,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.573664,0.674038,0.66451,0.674038,0.665551,0.58309,0.470035,0.520494,0.713651,0.797163,0.753099,,,,,,,,,,,,,43,0.820941,0.529965,400,451,286,1124
1,TT,hierarchical_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,0,5195,0,0,3038,2157,760,540,0,0,760,540,5195,1300,1300,760,540,1.20495,0.642308,0.640095,0.642308,0.640964,0.687898,0.710526,0.699029,0.572816,0.546296,0.559242,,,,,,,,,,,,,44,0.596804,0.289474,540,220,245,295
2,SN,hierarchical_vae,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,7.734701,0.623618,0.388899,0.623618,0.479053,0.0,0.0,0.0,0.623618,1.0,0.768183,,,,,,,,,,,,,44,0.628461,1.0,0,851,0,1410
3,TT,hierarchical_vae,10.0,90.0,9.997,90.003,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,577,5195,337,240,3038,2157,760,540,84,60,760,540,5772,1444,1300,760,540,0.697256,0.641538,0.635921,0.641538,0.636506,0.675837,0.743421,0.70802,0.579741,0.498148,0.535857,,,,,,,,,,,,,44,0.617696,0.256579,565,195,271,269
4,SN,hierarchical_vae,10.0,90.0,10.003,89.997,v3_real_pool_with_holdout,./datasets/anomaly/SN/SN_normal_synthetic.pt,./datasets/anomaly/SN/SN_abnormal_synthetic.pt,0.2,,,,1005,9042,378,627,3404,5638,851,1410,,,851,1410,,,,,,0.631421,0.647059,0.642424,0.647059,0.644287,0.533502,0.495887,0.514007,0.708163,0.738298,0.722917,,,,,,,,,,,,,44,0.78951,0.504113,422,429,369,1041
5,TT,hierarchical_vae,30.0,70.0,29.996,70.004,v5_tt_real_validation,./datasets/anomaly/TT/TT_normal_synthetic.pt,./datasets/anomaly/TT/TT_abnormal_synthetic.pt,0.2,0.1,3,,2226,5195,1302,924,3038,2157,760,540,304,216,760,540,7421,1820,1300,760,540,0.669638,0.639231,0.638568,0.639231,0.638881,0.6897,0.696053,0.692862,0.566604,0.559259,0.562908,,,,,,,,,,,,,44,0.619972,0.303947,529,231,238,302
