system,generator,real_percent,runs,weighted_f1_mean,weighted_f1_sd,abnormal_f1_mean,abnormal_f1_sd,abnormal_recall_mean,abnormal_recall_sd,pr_auc_mean,pr_auc_sd,false_alarm_rate_mean,false_alarm_rate_sd
SN,hierarchical_vae,0.0,5,0.479011,9.391485505498578e-05,0.7681158,0.00015026376808798718,0.9998581999999999,0.00031707443920945215,0.6301188000000001,0.0018381219219627339,1.0,0.0
SN,hierarchical_vae,10.0,5,0.6383246,0.008931483600164096,0.7191594,0.005701514298850776,0.7360284,0.0042672629166715355,0.7929302,0.0025268805274488155,0.5151586,0.016959412469186527
SN,hierarchical_vae,30.0,5,0.6542619999999999,0.006565720371748985,0.7521308,0.01635411623108995,0.8103545999999999,0.05299614100856779,0.8080254,0.006458529809484499,0.5680377999999999,0.07218239442343262
SN,hierarchical_vae,100.0,5,0.6633576000000001,0.0046680763489900245,0.7585386,0.0049146934085454366,0.8171630000000001,0.01435539595413518,0.8199247999999999,0.0036769638562270455,0.558872,0.02079924432521527
TT,hierarchical_vae,0.0,5,0.6378834,0.010630685645808565,0.56481,0.0135864159181147,0.5659258,0.01949295289841947,0.5956656,0.021283288333807777,0.3110526,0.016397059059477706
TT,hierarchical_vae,10.0,5,0.6430686000000001,0.011732104768540032,0.5657436,0.020990256687329942,0.5592594,0.04200495390189114,0.6160346000000001,0.01530561324481969,0.2955266,0.03567968056611493
TT,hierarchical_vae,30.0,5,0.6483204,0.009711505640218717,0.565033,0.01706576256719872,0.5474072,0.05109564171433802,0.6254696000000001,0.017877756327347134,0.275263,0.057417058993821685
TT,hierarchical_vae,100.0,5,0.674883,0.011035197415542708,0.5337968,0.01572356453543536,0.41814819999999997,0.013507068212606312,0.6321646,0.023144192820230287,0.10552619999999999,0.012286816743974006
