system,trace_class,real_graphs,synthetic_graphs,unique_synthetic_ratio,exact_duplicate_rate,novelty_rate,near_duplicate_rate,mean_nearest_edge_jaccard,service_operation_coverage,edge_pattern_coverage
TT,normal,6212,6212,0.011751448808757245,0.5977141017385705,0.40228589826142946,0.9876046361880232,0.9972638083995133,1.0,1.0
TT,abnormal,4729,4729,0.012053288221611334,0.5631211672658067,0.43687883273419326,0.9936561640938888,0.9973755315899534,0.7857142857142857,1.0
SN,normal,4255,4255,0.962867215041128,0.0,1.0,0.0,0.000810692216582148,0.8305084745762712,0.13636363636363635
SN,abnormal,7049,7049,0.8154348134487162,0.0,1.0,0.004823379202723791,0.08404896558299436,0.9491525423728814,0.5454545454545454
