run_order,system,generator,real_percent_requested,synthetic_percent_requested,real_percent_actual,synth_percent_actual,mode_version,syn_normal_path,syn_abnormal_path,real_holdout_ratio,real_val_ratio,min_nodes_filter,max_synth_per_class,train_real_total,train_synth_total,train_normal_real,train_abnormal_real,train_normal_synth,train_abnormal_synth,val_normal_synth,val_abnormal_synth,val_normal_real,val_abnormal_real,test_normal_real,test_abnormal_real,train_total_after_filter,val_total_after_filter,test_total_after_filter,test_normal_real_after_filter,test_abnormal_real_after_filter,test_loss,test_accuracy,weighted_precision,weighted_recall,weighted_f1,normal_precision,normal_recall,normal_f1,abnormal_precision,abnormal_recall,abnormal_f1,resource_summary_csv,resource_timeseries_csv,resource_return_code,resource_wall_seconds,resource_process_tree_cpu_seconds,resource_process_tree_avg_cpu_pct,resource_process_tree_peak_rss_mb,resource_process_tree_peak_vms_mb,resource_gpu_peak_mem_used_total_mb,resource_process_tree_gpu_peak_mem_mb,resource_gpu_peak_util_pct,resource_samples
6,SN,random_sampling,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.593604,0.680672,0.673165,0.680672,0.649791,0.647597,0.33255,0.439441,0.688596,0.89078,0.776747,,,,,,,,,,,,
7,TT,random_sampling,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/baselines/TT_normal_random_sampling.pt,./datasets/baselines/TT_abnormal_random_sampling.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.616919,0.691538,0.696458,0.691538,0.672316,0.684103,0.877632,0.768876,0.713846,0.42963,0.536416,,,,,,,,,,,,
8,SN,random_sampling,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_random_sampling.pt,./datasets/baselines/SN_abnormal_random_sampling.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.579175,0.670942,0.660542,0.670942,0.661217,0.57997,0.455934,0.510526,0.709171,0.800709,0.752165,,,,,,,,,,,,
9,TT,flat_vae,0.0,100.0,0.0,100.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,0,5195,0,0,3038,2157,760,540,0,0,760,540,5195,1300,1300,760,540,2.322845,0.6,0.621663,0.6,0.490079,0.597087,0.971053,0.739479,0.65625,0.077778,0.139073,,,,,,,,,,,,
10,SN,flat_vae,0.0,100.0,0.0,100.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,0,9043,0,0,3404,5639,851,1410,,,851,1410,,,,,,7.820956,0.376382,0.141664,0.376382,0.205849,0.376382,1.0,0.546915,0.0,0.0,0.0,,,,,,,,,,,,
11,TT,flat_vae,10.0,90.0,9.997,90.003,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,577,5195,337,240,3038,2157,760,540,84,60,760,540,5772,1444,1300,760,540,0.638877,0.666154,0.688304,0.666154,0.624901,0.650926,0.925,0.76413,0.740909,0.301852,0.428947,,,,,,,,,,,,
12,SN,flat_vae,10.0,90.0,10.003,89.997,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,1005,9042,378,627,3404,5638,851,1410,,,851,1410,,,,,,0.624307,0.606811,0.634698,0.606811,0.612894,0.482883,0.629847,0.54666,0.726325,0.592908,0.65287,,,,,,,,,,,,
13,TT,flat_vae,30.0,70.0,29.996,70.004,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,2226,5195,1302,924,3038,2157,760,540,304,216,760,540,7421,1820,1300,760,540,0.636722,0.668462,0.663315,0.668462,0.658518,0.684211,0.803947,0.739262,0.633907,0.477778,0.544879,,,,,,,,,,,,
14,SN,flat_vae,30.0,70.0,29.997,70.003,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,3875,9043,1458,2417,3404,5639,851,1410,,,851,1410,,,,,,0.597981,0.671384,0.658507,0.671384,0.65193,0.598182,0.386604,0.469665,0.694915,0.843262,0.761935,,,,,,,,,,,,
15,TT,flat_vae,100.0,0.0,100.0,0.0,v5_tt_real_validation,./datasets/baselines/TT_normal_flat_vae_synthetic.pt,./datasets/baselines/TT_abnormal_flat_vae_synthetic.pt,0.2,0.1,3,,4675,0,2734,1941,0,0,0,0,304,216,760,540,4675,520,1300,760,540,0.637653,0.683846,0.69152,0.683846,0.660073,0.674326,0.888158,0.76661,0.715719,0.396296,0.510131,,,,,,,,,,,,
16,SN,flat_vae,100.0,0.0,100.0,0.0,v3_real_pool_with_holdout,./datasets/baselines/SN_normal_flat_vae_synthetic.pt,./datasets/baselines/SN_abnormal_flat_vae_synthetic.pt,0.2,,,,8138,0,3063,5075,0,0,0,0,,,851,1410,,,,,,0.574148,0.668288,0.6603,0.668288,0.662241,0.569464,0.486486,0.524715,0.715124,0.778014,0.745245,,,,,,,,,,,,
