=== TRAINING TT DATA ===
Epoch 063 | loss 0.3162 | node 0.2618 | edge 0.0491 | kl 0.2660 | beta 0.0200
Epoch 064 | loss 0.3188 | node 0.2633 | edge 0.0505 | kl 0.2471 | beta 0.0200
Epoch 065 | loss 0.3510 | node 0.2872 | edge 0.0579 | kl 0.2959 | beta 0.0200
Epoch 066 | loss 0.2903 | node 0.2363 | edge 0.0481 | kl 0.2965 | beta 0.0200
Epoch 067 | loss 0.3068 | node 0.2555 | edge 0.0458 | kl 0.2728 | beta 0.0200
Epoch 068 | loss 0.2983 | node 0.2474 | edge 0.0462 | kl 0.2363 | beta 0.0200
Epoch 069 | loss 0.2912 | node 0.2431 | edge 0.0438 | kl 0.2159 | beta 0.0200
Epoch 070 | loss 0.2862 | node 0.2303 | edge 0.0517 | kl 0.2113 | beta 0.0200
Epoch 071 | loss 0.3242 | node 0.2749 | edge 0.0450 | kl 0.2158 | beta 0.0200
Epoch 072 | loss 0.3414 | node 0.2847 | edge 0.0507 | kl 0.2988 | beta 0.0200
Epoch 073 | loss 0.2891 | node 0.2373 | edge 0.0475 | kl 0.2148 | beta 0.0200
Epoch 074 | loss 0.2839 | node 0.2372 | edge 0.0427 | kl 0.1986 | beta 0.0200
Epoch 075 | loss 0.3166 | node 0.2702 | edge 0.0420 | kl 0.2210 | beta 0.0200
Epoch 076 | loss 0.3156 | node 0.2703 | edge 0.0416 | kl 0.1832 | beta 0.0200
Epoch 077 | loss 0.3145 | node 0.2664 | edge 0.0446 | kl 0.1767 | beta 0.0200
Epoch 078 | loss 0.2708 | node 0.2274 | edge 0.0402 | kl 0.1555 | beta 0.0200
Epoch 079 | loss 0.2553 | node 0.2149 | edge 0.0377 | kl 0.1342 | beta 0.0200
Epoch 080 | loss 0.2862 | node 0.2451 | edge 0.0386 | kl 0.1286 | beta 0.0200
Epoch 081 | loss 0.2908 | node 0.2442 | edge 0.0438 | kl 0.1410 | beta 0.0200
Epoch 082 | loss 0.2759 | node 0.2347 | edge 0.0385 | kl 0.1340 | beta 0.0200
Epoch 083 | loss 0.2942 | node 0.2415 | edge 0.0486 | kl 0.2055 | beta 0.0200
Epoch 084 | loss 0.3252 | node 0.2766 | edge 0.0449 | kl 0.1874 | beta 0.0200
Epoch 085 | loss 0.3323 | node 0.2846 | edge 0.0432 | kl 0.2254 | beta 0.0200
Epoch 086 | loss 0.2815 | node 0.2372 | edge 0.0410 | kl 0.1634 | beta 0.0200
Epoch 087 | loss 0.2734 | node 0.2281 | edge 0.0421 | kl 0.1611 | beta 0.0200
Epoch 088 | loss 0.2545 | node 0.2073 | edge 0.0444 | kl 0.1398 | beta 0.0200
Epoch 089 | loss 0.2768 | node 0.2354 | edge 0.0382 | kl 0.1603 | beta 0.0200
Epoch 090 | loss 0.2770 | node 0.2352 | edge 0.0387 | kl 0.1527 | beta 0.0200
Epoch 091 | loss 0.2828 | node 0.2432 | edge 0.0373 | kl 0.1141 | beta 0.0200
Epoch 092 | loss 0.2599 | node 0.2190 | edge 0.0387 | kl 0.1078 | beta 0.0200
Epoch 093 | loss 0.2877 | node 0.2482 | edge 0.0371 | kl 0.1169 | beta 0.0200
Epoch 094 | loss 0.2669 | node 0.2281 | edge 0.0367 | kl 0.1080 | beta 0.0200
Epoch 095 | loss 0.3136 | node 0.2700 | edge 0.0402 | kl 0.1727 | beta 0.0200
Epoch 096 | loss 0.2847 | node 0.2447 | edge 0.0371 | kl 0.1438 | beta 0.0200
Epoch 097 | loss 0.2819 | node 0.2431 | edge 0.0364 | kl 0.1210 | beta 0.0200
Epoch 098 | loss 0.2826 | node 0.2340 | edge 0.0444 | kl 0.2090 | beta 0.0200
Epoch 099 | loss 0.2557 | node 0.2160 | edge 0.0372 | kl 0.1247 | beta 0.0200
Epoch 100 | loss 0.2599 | node 0.2216 | edge 0.0354 | kl 0.1482 | beta 0.0200
Epoch 101 | loss 0.3039 | node 0.2678 | edge 0.0338 | kl 0.1161 | beta 0.0200
Epoch 102 | loss 0.2890 | node 0.2512 | edge 0.0357 | kl 0.1050 | beta 0.0200
Epoch 103 | loss 0.3095 | node 0.2730 | edge 0.0342 | kl 0.1106 | beta 0.0200
Epoch 104 | loss 0.2944 | node 0.2563 | edge 0.0361 | kl 0.1000 | beta 0.0200
Epoch 105 | loss 0.2801 | node 0.2409 | edge 0.0372 | kl 0.0958 | beta 0.0200
Epoch 106 | loss 0.2856 | node 0.2469 | edge 0.0365 | kl 0.1088 | beta 0.0200
Epoch 107 | loss 0.3060 | node 0.2670 | edge 0.0362 | kl 0.1393 | beta 0.0200
Epoch 108 | loss 0.2577 | node 0.2230 | edge 0.0329 | kl 0.0895 | beta 0.0200
Epoch 109 | loss 0.2445 | node 0.2122 | edge 0.0305 | kl 0.0937 | beta 0.0200
Epoch 110 | loss 0.2844 | node 0.2423 | edge 0.0401 | kl 0.1014 | beta 0.0200
Epoch 111 | loss 0.2764 | node 0.2300 | edge 0.0432 | kl 0.1575 | beta 0.0200
Epoch 112 | loss 0.2899 | node 0.2482 | edge 0.0388 | kl 0.1443 | beta 0.0200
Epoch 113 | loss 0.2649 | node 0.2297 | edge 0.0330 | kl 0.1074 | beta 0.0200
Epoch 114 | loss 0.2533 | node 0.2189 | edge 0.0322 | kl 0.1153 | beta 0.0200
