---------------- TT Dataset --------------------------------------------------
Epoch 063 | loss 0.3544 | node 0.3072 | edge 0.0408 | kl 0.3210 | beta 0.0200
Epoch 064 | loss 0.3545 | node 0.3074 | edge 0.0412 | kl 0.2946 | beta 0.0200
Epoch 065 | loss 0.2930 | node 0.2453 | edge 0.0425 | kl 0.2610 | beta 0.0200
Epoch 066 | loss 0.3043 | node 0.2592 | edge 0.0404 | kl 0.2359 | beta 0.0200
Epoch 067 | loss 0.3285 | node 0.2851 | edge 0.0380 | kl 0.2714 | beta 0.0200
Epoch 068 | loss 0.2956 | node 0.2529 | edge 0.0377 | kl 0.2508 | beta 0.0200
Epoch 069 | loss 0.2690 | node 0.2266 | edge 0.0385 | kl 0.1950 | beta 0.0200
Epoch 070 | loss 0.2836 | node 0.2366 | edge 0.0427 | kl 0.2131 | beta 0.0200
Epoch 071 | loss 0.2863 | node 0.2412 | edge 0.0407 | kl 0.2229 | beta 0.0200
Epoch 072 | loss 0.3234 | node 0.2826 | edge 0.0372 | kl 0.1803 | beta 0.0200
Epoch 073 | loss 0.2944 | node 0.2510 | edge 0.0389 | kl 0.2215 | beta 0.0200
Epoch 074 | loss 0.3177 | node 0.2761 | edge 0.0367 | kl 0.2402 | beta 0.0200
Epoch 075 | loss 0.2740 | node 0.2357 | edge 0.0348 | kl 0.1782 | beta 0.0200
Epoch 076 | loss 0.2933 | node 0.2542 | edge 0.0357 | kl 0.1729 | beta 0.0200
Epoch 077 | loss 0.3091 | node 0.2647 | edge 0.0411 | kl 0.1673 | beta 0.0200
Epoch 078 | loss 0.2544 | node 0.2162 | edge 0.0352 | kl 0.1510 | beta 0.0200
Epoch 079 | loss 0.3284 | node 0.2850 | edge 0.0393 | kl 0.2045 | beta 0.0200
Epoch 080 | loss 0.2705 | node 0.2318 | edge 0.0350 | kl 0.1830 | beta 0.0200
Epoch 081 | loss 0.2901 | node 0.2503 | edge 0.0359 | kl 0.1932 | beta 0.0200
Epoch 082 | loss 0.3007 | node 0.2627 | edge 0.0348 | kl 0.1625 | beta 0.0200
Epoch 083 | loss 0.2820 | node 0.2378 | edge 0.0411 | kl 0.1529 | beta 0.0200
Epoch 084 | loss 0.2930 | node 0.2528 | edge 0.0374 | kl 0.1375 | beta 0.0200
Epoch 085 | loss 0.3219 | node 0.2836 | edge 0.0348 | kl 0.1794 | beta 0.0200
Epoch 086 | loss 0.3258 | node 0.2821 | edge 0.0396 | kl 0.2022 | beta 0.0200
Epoch 087 | loss 0.2819 | node 0.2424 | edge 0.0360 | kl 0.1747 | beta 0.0200
Epoch 088 | loss 0.3109 | node 0.2721 | edge 0.0358 | kl 0.1520 | beta 0.0200
Epoch 089 | loss 0.2908 | node 0.2529 | edge 0.0348 | kl 0.1557 | beta 0.0200
Epoch 090 | loss 0.2584 | node 0.2216 | edge 0.0340 | kl 0.1373 | beta 0.0200
