---------------- SN Dataset --------------------------------------------------
Epoch 063 | loss 0.2335 | node 0.1514 | edge 0.0266 | kl 0.0483 | beta 0.0500
Epoch 064 | loss 0.2254 | node 0.1583 | edge 0.0217 | kl 0.0395 | beta 0.0500
Epoch 065 | loss 0.2310 | node 0.1571 | edge 0.0239 | kl 0.0423 | beta 0.0500
Epoch 066 | loss 0.2279 | node 0.1556 | edge 0.0234 | kl 0.0392 | beta 0.0500
Epoch 067 | loss 0.2258 | node 0.1481 | edge 0.0252 | kl 0.0426 | beta 0.0500
Epoch 068 | loss 0.2212 | node 0.1563 | edge 0.0209 | kl 0.0403 | beta 0.0500
Epoch 069 | loss 0.2184 | node 0.1489 | edge 0.0225 | kl 0.0413 | beta 0.0500
Epoch 070 | loss 0.2329 | node 0.1572 | edge 0.0244 | kl 0.0488 | beta 0.0500
Epoch 071 | loss 0.2154 | node 0.1479 | edge 0.0219 | kl 0.0361 | beta 0.0500
Epoch 072 | loss 0.2256 | node 0.1554 | edge 0.0228 | kl 0.0377 | beta 0.0500
Epoch 073 | loss 0.2111 | node 0.1460 | edge 0.0211 | kl 0.0349 | beta 0.0500
Epoch 074 | loss 0.2270 | node 0.1469 | edge 0.0260 | kl 0.0421 | beta 0.0500
Epoch 075 | loss 0.2100 | node 0.1500 | edge 0.0194 | kl 0.0336 | beta 0.0500
Epoch 076 | loss 0.2124 | node 0.1488 | edge 0.0206 | kl 0.0363 | beta 0.0500
Epoch 077 | loss 0.2111 | node 0.1452 | edge 0.0214 | kl 0.0333 | beta 0.0500
Epoch 078 | loss 0.2192 | node 0.1463 | edge 0.0236 | kl 0.0434 | beta 0.0500
Epoch 079 | loss 0.1974 | node 0.1459 | edge 0.0166 | kl 0.0322 | beta 0.0500
Epoch 080 | loss 0.2167 | node 0.1483 | edge 0.0222 | kl 0.0337 | beta 0.0500
Epoch 081 | loss 0.2239 | node 0.1505 | edge 0.0237 | kl 0.0433 | beta 0.0500
Epoch 082 | loss 0.2079 | node 0.1503 | edge 0.0186 | kl 0.0365 | beta 0.0500
Epoch 083 | loss 0.2162 | node 0.1414 | edge 0.0243 | kl 0.0376 | beta 0.0500
Epoch 084 | loss 0.2136 | node 0.1431 | edge 0.0229 | kl 0.0371 | beta 0.0500
Epoch 085 | loss 0.1969 | node 0.1411 | edge 0.0181 | kl 0.0303 | beta 0.0500
Epoch 086 | loss 0.2045 | node 0.1435 | edge 0.0198 | kl 0.0341 | beta 0.0500
Epoch 087 | loss 0.2110 | node 0.1483 | edge 0.0203 | kl 0.0383 | beta 0.0500
Epoch 088 | loss 0.2113 | node 0.1463 | edge 0.0210 | kl 0.0363 | beta 0.0500
Epoch 089 | loss 0.1945 | node 0.1389 | edge 0.0179 | kl 0.0341 | beta 0.0500
Epoch 090 | loss 0.2143 | node 0.1471 | edge 0.0218 | kl 0.0352 | beta 0.0500
Epoch 091 | loss 0.2035 | node 0.1450 | edge 0.0188 | kl 0.0433 | beta 0.0500
Epoch 092 | loss 0.2050 | node 0.1420 | edge 0.0204 | kl 0.0347 | beta 0.0500
Epoch 093 | loss 0.2025 | node 0.1452 | edge 0.0185 | kl 0.0337 | beta 0.0500
Epoch 094 | loss 0.1995 | node 0.1407 | edge 0.0190 | kl 0.0354 | beta 0.0500
Epoch 095 | loss 0.2017 | node 0.1415 | edge 0.0195 | kl 0.0353 | beta 0.0500
Epoch 096 | loss 0.1847 | node 0.1325 | edge 0.0169 | kl 0.0305 | beta 0.0500
Epoch 097 | loss 0.2003 | node 0.1402 | edge 0.0195 | kl 0.0343 | beta 0.0500
Epoch 098 | loss 0.1977 | node 0.1387 | edge 0.0191 | kl 0.0342 | beta 0.0500
Epoch 099 | loss 0.2032 | node 0.1400 | edge 0.0204 | kl 0.0369 | beta 0.0500
Epoch 100 | loss 0.1898 | node 0.1392 | edge 0.0163 | kl 0.0337 | beta 0.0500
Epoch 101 | loss 0.1935 | node 0.1394 | edge 0.0174 | kl 0.0350 | beta 0.0500
Epoch 102 | loss 0.1892 | node 0.1388 | edge 0.0162 | kl 0.0334 | beta 0.0500
Epoch 103 | loss 0.1971 | node 0.1342 | edge 0.0204 | kl 0.0341 | beta 0.0500
Epoch 104 | loss 0.1970 | node 0.1452 | edge 0.0167 | kl 0.0336 | beta 0.0500
Epoch 105 | loss 0.1954 | node 0.1401 | edge 0.0179 | kl 0.0329 | beta 0.0500
Epoch 106 | loss 0.1876 | node 0.1375 | edge 0.0161 | kl 0.0326 | beta 0.0500
Epoch 107 | loss 0.1925 | node 0.1374 | edge 0.0178 | kl 0.0357 | beta 0.0500
Epoch 108 | loss 0.1913 | node 0.1409 | edge 0.0163 | kl 0.0299 | beta 0.0500
Epoch 109 | loss 0.2036 | node 0.1384 | edge 0.0211 | kl 0.0368 | beta 0.0500
Epoch 110 | loss 0.1953 | node 0.1412 | edge 0.0174 | kl 0.0354 | beta 0.0500
Epoch 111 | loss 0.1837 | node 0.1319 | edge 0.0168 | kl 0.0298 | beta 0.0500
Epoch 112 | loss 0.1800 | node 0.1315 | edge 0.0157 | kl 0.0254 | beta 0.0500
Epoch 113 | loss 0.1968 | node 0.1385 | edge 0.0189 | kl 0.0328 | beta 0.0500
Epoch 114 | loss 0.2150 | node 0.1396 | edge 0.0244 | kl 0.0423 | beta 0.0500
Epoch 115 | loss 0.1910 | node 0.1345 | edge 0.0182 | kl 0.0369 | beta 0.0500
Epoch 116 | loss 0.1894 | node 0.1373 | edge 0.0168 | kl 0.0358 | beta 0.0500
Epoch 117 | loss 0.1980 | node 0.1400 | edge 0.0187 | kl 0.0344 | beta 0.0500
Epoch 118 | loss 0.1764 | node 0.1342 | edge 0.0136 | kl 0.0262 | beta 0.0500
Epoch 119 | loss 0.1866 | node 0.1339 | edge 0.0170 | kl 0.0313 | beta 0.0500
Epoch 120 | loss 0.1841 | node 0.1322 | edge 0.0168 | kl 0.0324 | beta 0.0500
Epoch 121 | loss 0.1852 | node 0.1358 | edge 0.0159 | kl 0.0320 | beta 0.0500
Epoch 122 | loss 0.1794 | node 0.1324 | edge 0.0152 | kl 0.0276 | beta 0.0500
Epoch 123 | loss 0.1838 | node 0.1396 | edge 0.0143 | kl 0.0291 | beta 0.0500
Epoch 124 | loss 0.1838 | node 0.1344 | edge 0.0159 | kl 0.0361 | beta 0.0500
Epoch 125 | loss 0.2041 | node 0.1399 | edge 0.0207 | kl 0.0406 | beta 0.0500
Epoch 126 | loss 0.1883 | node 0.1362 | edge 0.0168 | kl 0.0359 | beta 0.0500
Epoch 127 | loss 0.1892 | node 0.1337 | edge 0.0179 | kl 0.0317 | beta 0.0500
Epoch 128 | loss 0.1755 | node 0.1313 | edge 0.0142 | kl 0.0300 | beta 0.0500
Epoch 129 | loss 0.1801 | node 0.1347 | edge 0.0147 | kl 0.0283 | beta 0.0500
Epoch 130 | loss 0.1748 | node 0.1342 | edge 0.0131 | kl 0.0272 | beta 0.0500
Epoch 131 | loss 0.1730 | node 0.1353 | edge 0.0122 | kl 0.0237 | beta 0.0500
Epoch 132 | loss 0.1982 | node 0.1386 | edge 0.0192 | kl 0.0403 | beta 0.0500
Epoch 133 | loss 0.1727 | node 0.1329 | edge 0.0128 | kl 0.0303 | beta 0.0500
Epoch 134 | loss 0.1857 | node 0.1326 | edge 0.0172 | kl 0.0320 | beta 0.0500
