=== TRAINING SN DATA ===
Epoch 063 | loss 0.1690 | node 0.1353 | edge 0.0327 | kl 0.0472 | beta 0.0200
Epoch 064 | loss 0.1847 | node 0.1473 | edge 0.0363 | kl 0.0522 | beta 0.0200
Epoch 065 | loss 0.1743 | node 0.1435 | edge 0.0299 | kl 0.0437 | beta 0.0200
Epoch 066 | loss 0.1728 | node 0.1423 | edge 0.0297 | kl 0.0403 | beta 0.0200
Epoch 067 | loss 0.1750 | node 0.1388 | edge 0.0353 | kl 0.0429 | beta 0.0200
Epoch 068 | loss 0.1783 | node 0.1420 | edge 0.0354 | kl 0.0459 | beta 0.0200
Epoch 069 | loss 0.1686 | node 0.1370 | edge 0.0308 | kl 0.0423 | beta 0.0200
Epoch 070 | loss 0.1695 | node 0.1372 | edge 0.0315 | kl 0.0413 | beta 0.0200
Epoch 071 | loss 0.1661 | node 0.1354 | edge 0.0299 | kl 0.0395 | beta 0.0200
Epoch 072 | loss 0.1720 | node 0.1377 | edge 0.0335 | kl 0.0419 | beta 0.0200
Epoch 073 | loss 0.1647 | node 0.1349 | edge 0.0290 | kl 0.0387 | beta 0.0200
Epoch 074 | loss 0.1679 | node 0.1358 | edge 0.0314 | kl 0.0378 | beta 0.0200
Epoch 075 | loss 0.1687 | node 0.1376 | edge 0.0303 | kl 0.0421 | beta 0.0200
Epoch 076 | loss 0.1646 | node 0.1368 | edge 0.0270 | kl 0.0382 | beta 0.0200
Epoch 077 | loss 0.1762 | node 0.1421 | edge 0.0332 | kl 0.0454 | beta 0.0200
Epoch 078 | loss 0.1629 | node 0.1313 | edge 0.0308 | kl 0.0411 | beta 0.0200
Epoch 079 | loss 0.1657 | node 0.1348 | edge 0.0302 | kl 0.0359 | beta 0.0200
Epoch 080 | loss 0.1638 | node 0.1330 | edge 0.0301 | kl 0.0371 | beta 0.0200
Epoch 081 | loss 0.1612 | node 0.1313 | edge 0.0292 | kl 0.0348 | beta 0.0200
Epoch 082 | loss 0.1662 | node 0.1358 | edge 0.0297 | kl 0.0359 | beta 0.0200
Epoch 083 | loss 0.1686 | node 0.1371 | edge 0.0307 | kl 0.0418 | beta 0.0200
Epoch 084 | loss 0.1608 | node 0.1338 | edge 0.0262 | kl 0.0400 | beta 0.0200
Epoch 085 | loss 0.1664 | node 0.1386 | edge 0.0270 | kl 0.0396 | beta 0.0200
Epoch 086 | loss 0.1628 | node 0.1316 | edge 0.0305 | kl 0.0370 | beta 0.0200
Epoch 087 | loss 0.1685 | node 0.1383 | edge 0.0294 | kl 0.0390 | beta 0.0200
Epoch 088 | loss 0.1596 | node 0.1300 | edge 0.0288 | kl 0.0399 | beta 0.0200
Epoch 089 | loss 0.1556 | node 0.1317 | edge 0.0232 | kl 0.0319 | beta 0.0200
Epoch 090 | loss 0.1601 | node 0.1308 | edge 0.0287 | kl 0.0339 | beta 0.0200
Epoch 091 | loss 0.1685 | node 0.1387 | edge 0.0290 | kl 0.0402 | beta 0.0200
Epoch 092 | loss 0.1534 | node 0.1283 | edge 0.0244 | kl 0.0320 | beta 0.0200
Epoch 093 | loss 0.1522 | node 0.1290 | edge 0.0226 | kl 0.0293 | beta 0.0200
Epoch 094 | loss 0.1627 | node 0.1329 | edge 0.0291 | kl 0.0363 | beta 0.0200
